station,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
S0000370-Ba Trieu,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000541-Tran Quang Khai,S0000310-Hang Trong,S0000137-Ngoc Khanh,S0000229-Quan Hoa,S0000171-GENESIS School,S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000229-Quan Hoa,S0000171-GENESIS School,S0000137-Ngoc Khanh,S0000143-Thu vien - DHQG Ha Noi,S0000264-FDS - Ton That Thuyet,S0000310-Hang Trong,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000370-Ba Trieu,S0000541-Tran Quang Khai,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000310-Hang Trong,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000541-Tran Quang Khai,S0000370-Ba Trieu,S0000137-Ngoc Khanh,S0000229-Quan Hoa,S0000171-GENESIS School,S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000210-Truong THCS Yen So,S0000238-He thong lien cap Lomonoxop - Mam non,S0000143-Thu vien - DHQG Ha Noi,S0000264-FDS - Ton That Thuyet,S0000171-GENESIS School,S0000229-Quan Hoa,S0000137-Ngoc Khanh,S0000310-Hang Trong,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000370-Ba Trieu,S0000541-Tran Quang Khai
S0000153-Truong Tieu hoc Tran Quoc Toan,S0000310-Hang Trong,S0000541-Tran Quang Khai,S0000370-Ba Trieu,S0000137-Ngoc Khanh,S0000229-Quan Hoa,S0000171-GENESIS School,S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000137-Ngoc Khanh,S0000229-Quan Hoa,S0000171-GENESIS School,S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000310-Hang Trong,S0000370-Ba Trieu,S0000541-Tran Quang Khai,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000541-Tran Quang Khai,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000310-Hang Trong,S0000370-Ba Trieu,S0000137-Ngoc Khanh,S0000229-Quan Hoa,S0000171-GENESIS School,S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000238-He thong lien cap Lomonoxop - Mam non,S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000210-Truong THCS Yen So,S0000229-Quan Hoa,S0000171-GENESIS School,S0000137-Ngoc Khanh,S0000370-Ba Trieu,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000310-Hang Trong,S0000541-Tran Quang Khai
S0000143-Thu vien - DHQG Ha Noi,S0000264-FDS - Ton That Thuyet,S0000171-GENESIS School,S0000229-Quan Hoa,S0000137-Ngoc Khanh,S0000238-He thong lien cap Lomonoxop - Mam non,S0000310-Hang Trong,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000370-Ba Trieu,S0000541-Tran Quang Khai,S0000210-Truong THCS Yen So
S0000171-GENESIS School,S0000229-Quan Hoa,S0000143-Thu vien - DHQG Ha Noi,S0000137-Ngoc Khanh,S0000264-FDS - Ton That Thuyet,S0000310-Hang Trong,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000370-Ba Trieu,S0000541-Tran Quang Khai,S0000238-He thong lien cap Lomonoxop - Mam non,S0000210-Truong THCS Yen So
S0000264-FDS - Ton That Thuyet,S0000143-Thu vien - DHQG Ha Noi,S0000229-Quan Hoa,S0000137-Ngoc Khanh,S0000171-GENESIS School,S0000238-He thong lien cap Lomonoxop - Mam non,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000370-Ba Trieu,S0000310-Hang Trong,S0000541-Tran Quang Khai,S0000210-Truong THCS Yen So
