,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,27/05/2020 12:00,5.06,49.41,32.66
1,1,1,27/05/2020 13:00,2.78,45.26,33.21
2,2,2,27/05/2020 14:00,9.51,52.76,33.54
3,3,3,27/05/2020 15:00,9.8,54.1,33.53
4,4,4,27/05/2020 16:00,13.27,52.64,33.07
5,5,5,27/05/2020 17:00,25.57,59.12,32.18
6,6,6,27/05/2020 18:00,32.58,62.01,31.58
7,7,7,27/05/2020 19:00,32.51,62.75,31.07
8,8,8,27/05/2020 20:00,33.84,62.37,31.07
9,9,9,27/05/2020 21:00,41.23,61.07,31.5
10,10,10,27/05/2020 22:00,35.16,60.23,31.84
11,11,11,27/05/2020 23:00,37.18,60.39,31.9
12,12,12,28/05/2020 00:00,38.03,61.46,31.9
13,13,13,28/05/2020 01:00,42.18,62.61,31.9
14,14,14,28/05/2020 02:00,38.07,62.74,31.97
15,15,15,28/05/2020 03:00,51.37,62.17,32.0
16,16,16,28/05/2020 04:00,36.88,61.34,31.93
17,17,17,28/05/2020 05:00,53.63,60.83,31.84
18,18,18,28/05/2020 06:00,51.87,60.98,31.82
19,19,19,28/05/2020 07:00,37.35,60.22,32.03
20,20,20,28/05/2020 08:00,41.82,59.38,32.39
21,21,21,28/05/2020 09:00,44.67,57.4,32.8
22,22,22,28/05/2020 10:00,43.76,57.93,32.69
23,23,23,28/05/2020 11:00,38.34,57.25,32.02
24,24,24,28/05/2020 12:00,34.68,55.01,32.75
25,25,25,28/05/2020 13:00,33.43,55.1,33.06
26,26,26,28/05/2020 14:00,40.23,53.62,33.57
27,27,27,28/05/2020 15:00,41.0,53.2,33.9
28,28,28,28/05/2020 16:00,36.03,61.89,32.37
29,29,29,28/05/2020 17:00,38.38,64.59,32.03
30,30,30,28/05/2020 18:00,40.08,65.37,31.49
31,31,31,28/05/2020 19:00,42.57,67.36,31.2
32,32,32,28/05/2020 20:00,36.5,66.8,30.84
33,33,33,28/05/2020 21:00,35.59,67.73,30.41
34,34,34,28/05/2020 22:00,38.26,71.73,29.83
35,35,35,28/05/2020 23:00,35.18,74.72,29.53
36,36,36,29/05/2020 00:00,28.43,78.39,29.11
37,37,37,29/05/2020 01:00,31.02,81.77,28.67
38,38,38,29/05/2020 02:00,35.5,81.83,28.67
39,39,39,29/05/2020 03:00,40.07,83.13,28.49
40,40,40,29/05/2020 04:00,41.56,83.86,28.43
41,41,41,29/05/2020 05:00,40.48,83.93,28.29
42,42,42,29/05/2020 06:00,41.78,84.35,28.2
43,43,43,29/05/2020 07:00,39.39,82.88,28.55
44,44,44,29/05/2020 08:00,40.55,81.73,28.88
45,45,45,29/05/2020 09:00,39.7,60.0,25.7
46,46,46,29/05/2020 10:00,36.76,76.48,30.33
47,47,47,29/05/2020 11:00,53.93,69.04,31.57
48,48,48,29/05/2020 12:00,53.55,65.42,32.92
49,49,49,29/05/2020 13:00,49.3,59.76,33.98
50,50,50,29/05/2020 14:00,35.63,57.46,34.48
51,51,51,29/05/2020 15:00,29.48,56.52,34.94
52,52,52,29/05/2020 16:00,27.86,57.81,34.66
53,53,53,29/05/2020 17:00,30.48,60.08,34.08
54,54,54,29/05/2020 18:00,36.94,64.66,33.01
55,55,55,29/05/2020 19:00,41.32,67.91,32.09
56,56,56,29/05/2020 20:00,40.07,70.18,30.93
57,57,57,29/05/2020 21:00,37.98,71.88,30.09
58,58,58,29/05/2020 22:00,46.76,75.97,29.55
59,59,59,29/05/2020 23:00,45.01,79.51,29.16
60,60,60,30/05/2020 00:00,34.59,80.46,28.97
61,61,61,30/05/2020 01:00,31.28,81.85,28.85
62,62,62,30/05/2020 02:00,24.64,83.63,28.63
63,63,63,30/05/2020 03:00,22.15,84.35,28.4
64,64,64,30/05/2020 04:00,17.21,85.58,28.28
65,65,65,30/05/2020 05:00,14.02,86.44,28.22
66,66,66,30/05/2020 06:00,12.04,86.63,28.33
67,67,67,30/05/2020 07:00,15.95,85.08,28.88
68,68,68,30/05/2020 08:00,31.55,77.83,30.64
69,69,69,30/05/2020 09:00,35.78,67.68,32.96
70,70,70,30/05/2020 10:00,44.92,64.49,33.58
71,71,71,30/05/2020 11:00,38.57,61.95,33.62
72,72,72,30/05/2020 12:00,21.6,53.32,34.98
73,73,73,30/05/2020 13:00,15.38,47.43,36.02
74,74,74,30/05/2020 14:00,14.78,46.78,36.08
75,75,75,30/05/2020 15:00,15.82,47.92,36.08
76,76,76,30/05/2020 16:00,15.58,46.57,36.98
77,77,77,30/05/2020 17:00,14.88,49.38,36.17
78,78,78,30/05/2020 18:00,28.59,56.48,34.32
79,79,79,30/05/2020 19:00,51.52,59.0,33.34
80,80,80,30/05/2020 20:00,65.9,63.28,32.06
81,81,81,30/05/2020 21:00,85.33,68.3,31.13
82,82,82,30/05/2020 22:00,57.54,83.62,28.35
83,83,83,30/05/2020 23:00,27.32,85.38,27.87
84,84,84,31/05/2020 00:00,62.05,85.53,28.38
85,85,85,31/05/2020 01:00,38.66,85.55,28.71
86,86,86,31/05/2020 02:00,13.28,86.17,28.78
87,87,87,31/05/2020 03:00,8.45,86.64,28.79
