,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,27/05/2020 12:00,18.8,63.19,30.29
1,1,1,27/05/2020 13:00,16.7,60.18,30.76
2,2,2,27/05/2020 14:00,21.52,66.38,30.1
3,3,3,27/05/2020 15:00,26.03,71.16,29.15
4,4,4,27/05/2020 16:00,26.44,69.97,29.28
5,5,5,27/05/2020 17:00,31.29,74.77,28.57
6,6,6,27/05/2020 18:00,35.44,76.49,28.42
7,7,7,27/05/2020 19:00,36.73,77.24,27.96
8,8,8,27/05/2020 20:00,38.67,78.07,27.58
9,9,9,27/05/2020 21:00,36.42,78.16,27.57
10,10,10,27/05/2020 22:00,40.13,78.19,27.69
11,11,11,27/05/2020 23:00,45.18,79.58,27.61
12,12,12,28/05/2020 00:00,46.03,80.43,27.57
13,13,13,28/05/2020 01:00,46.93,82.13,27.39
14,14,14,28/05/2020 02:00,43.19,82.63,27.26
15,15,15,28/05/2020 03:00,53.91,81.96,27.13
16,16,16,28/05/2020 04:00,89.06,79.68,27.23
17,17,17,28/05/2020 05:00,53.57,78.67,26.89
18,18,18,28/05/2020 06:00,45.11,79.05,26.93
19,19,19,28/05/2020 07:00,51.35,78.48,27.51
20,20,20,28/05/2020 08:00,43.93,75.93,28.32
21,21,21,28/05/2020 09:00,46.39,73.48,29.08
22,22,22,28/05/2020 10:00,39.06,69.86,29.95
23,23,23,28/05/2020 11:00,38.09,68.03,30.72
24,24,24,28/05/2020 12:00,36.28,62.83,31.66
25,25,25,28/05/2020 13:00,32.4,63.21,31.39
26,26,26,28/05/2020 14:00,38.54,59.84,32.47
27,27,27,28/05/2020 15:00,35.95,58.6,33.04
28,28,28,28/05/2020 16:00,37.49,59.05,33.16
29,29,29,28/05/2020 17:00,39.28,62.48,32.42
30,30,30,28/05/2020 18:00,45.57,64.53,31.63
31,31,31,28/05/2020 19:00,54.28,68.17,31.05
32,32,32,28/05/2020 20:00,42.17,69.08,30.39
33,33,33,28/05/2020 21:00,38.5,71.32,29.67
34,34,34,28/05/2020 22:00,45.06,74.34,29.15
35,35,35,28/05/2020 23:00,35.71,76.63,28.9
36,36,36,29/05/2020 00:00,27.96,79.85,28.64
37,37,37,29/05/2020 01:00,31.56,83.83,28.03
38,38,38,29/05/2020 02:00,35.77,84.02,28.08
39,39,39,29/05/2020 03:00,42.2,86.11,27.83
40,40,40,29/05/2020 04:00,53.03,87.21,27.71
41,41,41,29/05/2020 05:00,55.93,87.67,27.56
42,42,42,29/05/2020 06:00,56.68,87.7,27.52
43,43,43,29/05/2020 07:00,48.88,84.55,28.26
44,44,44,29/05/2020 08:00,45.22,83.23,28.63
45,45,45,29/05/2020 09:00,47.84,87.34,28.37
46,46,46,29/05/2020 10:00,38.5,78.89,30.18
47,47,47,29/05/2020 11:00,33.62,71.71,31.84
48,48,48,29/05/2020 12:00,32.53,67.31,33.01
49,49,49,29/05/2020 13:00,30.6,59.08,35.04
50,50,50,29/05/2020 14:00,24.78,57.46,35.19
51,51,51,29/05/2020 15:00,21.33,56.34,35.48
52,52,52,29/05/2020 16:00,19.1,52.5,37.26
53,53,53,29/05/2020 17:00,19.53,54.6,36.69
54,54,54,29/05/2020 18:00,23.18,65.01,33.68
55,55,55,29/05/2020 19:00,27.49,71.03,31.99
56,56,56,29/05/2020 20:00,28.48,73.38,30.79
57,57,57,29/05/2020 21:00,27.76,75.33,29.98
58,58,58,29/05/2020 22:00,30.26,79.28,29.54
59,59,59,29/05/2020 23:00,29.7,82.65,29.17
60,60,60,30/05/2020 00:00,27.41,83.73,28.98
61,61,61,30/05/2020 01:00,29.28,86.26,28.8
62,62,62,30/05/2020 02:00,25.33,87.41,28.67
63,63,63,30/05/2020 03:00,20.45,88.63,28.34
64,64,64,30/05/2020 04:00,16.1,89.04,28.22
65,65,65,30/05/2020 05:00,14.65,89.72,28.07
66,66,66,30/05/2020 06:00,14.49,89.7,28.22
67,67,67,30/05/2020 07:00,17.25,86.21,29.31
68,68,68,30/05/2020 08:00,21.33,80.83,30.54
69,69,69,30/05/2020 09:00,26.27,75.05,31.68
70,70,70,30/05/2020 10:00,27.93,69.71,32.93
71,71,71,30/05/2020 11:00,25.25,65.69,33.88
72,72,72,30/05/2020 12:00,19.36,56.53,35.0
73,73,73,30/05/2020 13:00,14.4,47.26,36.73
74,74,74,30/05/2020 14:00,15.39,46.59,37.3
75,75,75,30/05/2020 15:00,14.43,43.21,38.68
76,76,76,30/05/2020 16:00,14.58,44.53,37.97
77,77,77,30/05/2020 17:00,16.92,49.48,36.56
78,78,78,30/05/2020 18:00,20.02,57.37,34.81
79,79,79,30/05/2020 19:00,38.59,63.27,32.89
80,80,80,30/05/2020 20:00,43.47,67.02,31.59
81,81,81,30/05/2020 21:00,57.48,70.97,30.9
82,82,82,30/05/2020 22:00,46.53,84.33,28.65
83,83,83,30/05/2020 23:00,31.13,89.18,27.78
84,84,84,31/05/2020 00:00,58.39,89.79,28.16
85,85,85,31/05/2020 01:00,31.47,90.08,28.49
86,86,86,31/05/2020 02:00,16.18,90.08,28.58
87,87,87,31/05/2020 03:00,12.4,90.75,28.47
88,88,88,31/05/2020 04:00,16.47,91.38,28.33
89,89,89,31/05/2020 05:00,28.02,91.64,28.17
90,90,90,31/05/2020 06:00,22.67,91.3,28.29
91,91,91,31/05/2020 07:00,22.95,88.39,29.22
92,92,92,31/05/2020 08:00,40.28,83.49,30.56
93,93,93,31/05/2020 09:00,63.88,77.43,31.59
94,94,94,31/05/2020 10:00,51.9,70.62,33.24
95,95,95,31/05/2020 11:00,29.64,62.18,34.76
96,96,96,31/05/2020 12:00,20.53,53.23,36.23
97,97,97,31/05/2020 13:00,11.32,45.84,37.04
98,98,98,31/05/2020 14:00,11.6,47.17,37.08
99,99,99,31/05/2020 15:00,11.2,46.42,37.87
100,100,100,31/05/2020 16:00,10.01,44.63,38.24
101,101,101,31/05/2020 17:00,12.51,46.91,37.91
102,102,102,31/05/2020 18:00,16.68,53.53,35.6
103,103,103,31/05/2020 19:00,23.13,56.48,34.73
104,104,104,31/05/2020 20:00,40.73,66.12,33.43
105,105,105,31/05/2020 21:00,43.78,71.4,32.17
106,106,106,31/05/2020 22:00,46.46,70.24,31.7
107,107,107,31/05/2020 23:00,34.8,68.74,31.47
108,108,108,01/06/2020 00:00,25.29,72.87,30.86
109,109,109,01/06/2020 01:00,17.72,74.73,30.52
110,110,110,01/06/2020 02:00,16.15,77.14,30.24
111,111,111,01/06/2020 03:00,19.26,79.54,29.98
112,112,112,01/06/2020 04:00,18.03,79.53,29.85
113,113,113,01/06/2020 05:00,21.95,83.22,29.48
114,114,114,01/06/2020 06:00,24.3,85.0,29.28
115,115,115,01/06/2020 07:00,33.44,85.1,29.4
116,116,116,01/06/2020 08:00,24.32,76.38,31.27
117,117,117,01/06/2020 09:00,19.94,65.84,33.06
118,118,118,01/06/2020 10:00,19.01,60.15,34.15
119,119,119,01/06/2020 11:00,16.69,55.77,35.11
120,120,120,01/06/2020 12:00,14.12,51.65,36.18
121,121,121,01/06/2020 13:00,14.22,50.28,36.59
122,122,122,01/06/2020 14:00,13.68,50.84,36.64
123,123,123,01/06/2020 15:00,13.14,49.08,37.08
124,124,124,01/06/2020 16:00,12.5,46.91,38.13
125,125,125,01/06/2020 17:00,12.69,47.58,37.22
126,126,126,01/06/2020 18:00,10.56,58.08,31.24
127,127,127,01/06/2020 19:00,15.91,66.17,30.13
128,128,128,01/06/2020 20:00,24.93,80.28,28.12
129,129,129,01/06/2020 21:00,28.55,87.38,27.5
130,130,130,01/06/2020 22:00,20.6,86.38,27.08
131,131,131,01/06/2020 23:00,21.85,86.57,27.18
132,132,132,02/06/2020 00:00,32.03,87.45,27.53
133,133,133,02/06/2020 01:00,29.26,88.68,27.59
134,134,134,02/06/2020 02:00,38.76,89.34,27.82
135,135,135,02/06/2020 03:00,48.53,89.7,27.8
136,136,136,02/06/2020 04:00,61.87,89.14,27.92
137,137,137,02/06/2020 05:00,69.4,89.32,27.87
138,138,138,02/06/2020 06:00,44.61,90.23,28.14
139,139,139,02/06/2020 07:00,39.78,85.91,29.22
140,140,140,02/06/2020 08:00,34.2,75.62,30.73
141,141,141,02/06/2020 09:00,25.22,61.57,33.06
142,142,142,02/06/2020 10:00,17.97,53.84,34.32
143,143,143,02/06/2020 11:00,14.04,49.08,35.42
144,144,144,02/06/2020 12:00,13.01,46.95,36.41
145,145,145,02/06/2020 13:00,12.89,45.11,37.53
146,146,146,02/06/2020 14:00,11.88,41.84,39.23
147,147,147,02/06/2020 15:00,11.53,39.63,40.24
148,148,148,02/06/2020 16:00,11.97,41.38,39.43
149,149,149,02/06/2020 17:00,13.21,47.97,37.5
150,150,150,02/06/2020 18:00,15.18,57.56,32.49
151,151,151,02/06/2020 19:00,19.16,56.96,31.53
152,152,152,02/06/2020 20:00,37.1,64.08,30.58
153,153,153,02/06/2020 21:00,57.14,72.01,30.17
154,154,154,02/06/2020 22:00,63.58,75.95,29.88
155,155,155,02/06/2020 23:00,69.69,79.92,29.73
156,156,156,03/06/2020 00:00,47.58,81.17,29.85
157,157,157,03/06/2020 01:00,22.93,79.55,29.93
158,158,158,03/06/2020 02:00,17.95,82.12,29.58
159,159,159,03/06/2020 03:00,17.27,83.14,29.46
