,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,27/05/2020 12:00,15.34,60.52,31.34
1,1,1,27/05/2020 13:00,13.7,60.85,31.08
2,2,2,27/05/2020 14:00,20.9,65.86,30.32
3,3,3,27/05/2020 15:00,23.78,68.63,29.85
4,4,4,27/05/2020 16:00,25.29,68.48,29.96
5,5,5,27/05/2020 17:00,31.25,72.01,29.25
6,6,6,27/05/2020 18:00,39.39,73.77,28.96
7,7,7,27/05/2020 19:00,40.57,74.23,28.6
8,8,8,27/05/2020 20:00,39.92,75.19,28.3
9,9,9,27/05/2020 21:00,50.15,75.74,28.25
10,10,10,27/05/2020 22:00,47.12,75.3,28.36
11,11,11,27/05/2020 23:00,63.48,75.34,28.59
12,12,12,28/05/2020 00:00,64.22,76.53,28.51
13,13,13,28/05/2020 01:00,60.03,78.16,28.32
14,14,14,28/05/2020 02:00,45.54,78.54,28.23
15,15,15,28/05/2020 03:00,42.56,78.6,28.07
16,16,16,28/05/2020 04:00,71.93,76.21,28.05
17,17,17,28/05/2020 05:00,80.59,76.66,28.07
18,18,18,28/05/2020 06:00,60.54,76.83,28.01
19,19,19,28/05/2020 07:00,51.63,76.34,28.3
20,20,20,28/05/2020 08:00,52.88,74.67,28.68
21,21,21,28/05/2020 09:00,41.68,70.78,29.21
22,22,22,28/05/2020 10:00,45.12,69.43,30.09
23,23,23,28/05/2020 11:00,37.88,66.67,30.63
24,24,24,28/05/2020 12:00,35.13,62.38,31.33
25,25,25,28/05/2020 13:00,34.75,61.7,31.63
26,26,26,28/05/2020 14:00,43.13,61.37,31.77
27,27,27,28/05/2020 15:00,43.15,60.18,32.08
28,28,28,28/05/2020 16:00,48.86,61.24,32.06
29,29,29,28/05/2020 17:00,50.46,63.46,31.74
30,30,30,28/05/2020 18:00,54.73,65.15,31.27
31,31,31,28/05/2020 19:00,62.86,66.49,31.06
32,32,32,28/05/2020 20:00,45.28,67.23,30.68
33,33,33,28/05/2020 21:00,41.33,67.7,30.33
34,34,34,28/05/2020 22:00,50.18,70.23,30.07
35,35,35,28/05/2020 23:00,38.57,72.67,29.85
36,36,36,29/05/2020 00:00,30.45,76.15,29.48
37,37,37,29/05/2020 01:00,32.88,79.41,28.99
38,38,38,29/05/2020 02:00,45.22,80.02,28.93
39,39,39,29/05/2020 03:00,48.0,81.34,28.71
40,40,40,29/05/2020 04:00,51.51,82.12,28.65
41,41,41,29/05/2020 05:00,54.88,82.79,28.48
42,42,42,29/05/2020 06:00,49.78,82.37,28.51
43,43,43,29/05/2020 07:00,51.33,80.98,28.82
44,44,44,29/05/2020 08:00,49.44,79.75,28.95
45,45,45,29/05/2020 09:00,61.45,80.8,29.16
46,46,46,29/05/2020 10:00,47.59,75.18,30.3
47,47,47,29/05/2020 11:00,37.01,70.51,31.53
48,48,48,29/05/2020 12:00,35.69,66.84,32.69
49,49,49,29/05/2020 13:00,27.46,58.93,34.32
50,50,50,29/05/2020 14:00,21.4,54.78,35.23
51,51,51,29/05/2020 15:00,18.5,53.28,35.71
52,52,52,29/05/2020 16:00,18.73,56.48,35.11
53,53,53,29/05/2020 17:00,23.09,61.24,33.94
54,54,54,29/05/2020 18:00,26.51,65.96,33.06
55,55,55,29/05/2020 19:00,27.63,68.43,32.41
56,56,56,29/05/2020 20:00,25.52,68.33,31.82
57,57,57,29/05/2020 21:00,24.44,69.08,31.15
58,58,58,29/05/2020 22:00,35.21,72.32,30.76
59,59,59,29/05/2020 23:00,34.72,75.57,30.61
60,60,60,30/05/2020 00:00,28.43,76.6,30.42
61,61,61,30/05/2020 01:00,22.53,77.93,30.08
62,62,62,30/05/2020 02:00,17.84,79.88,29.85
63,63,63,30/05/2020 03:00,14.27,80.75,29.62
64,64,64,30/05/2020 04:00,12.25,81.91,29.46
65,65,65,30/05/2020 05:00,8.78,82.66,29.49
66,66,66,30/05/2020 06:00,9.7,83.55,29.42
67,67,67,30/05/2020 07:00,13.37,83.22,29.65
68,68,68,30/05/2020 08:00,25.76,79.4,30.32
69,69,69,30/05/2020 09:00,30.36,72.22,31.75
70,70,70,30/05/2020 10:00,32.15,66.78,32.91
71,71,71,30/05/2020 11:00,20.46,61.23,33.78
72,72,72,30/05/2020 12:00,14.16,55.0,34.87
73,73,73,30/05/2020 13:00,10.23,47.53,36.97
74,74,74,30/05/2020 14:00,11.21,46.18,37.58
75,75,75,30/05/2020 15:00,10.36,47.1,37.07
76,76,76,30/05/2020 16:00,10.23,48.87,36.53
77,77,77,30/05/2020 17:00,11.13,51.38,35.74
78,78,78,30/05/2020 18:00,19.68,57.26,34.73
79,79,79,30/05/2020 19:00,35.38,59.99,33.64
80,80,80,30/05/2020 20:00,46.31,62.94,32.53
81,81,81,30/05/2020 21:00,58.56,67.11,31.9
82,82,82,30/05/2020 22:00,43.7,76.79,30.33
83,83,83,30/05/2020 23:00,17.58,78.21,29.89
84,84,84,31/05/2020 00:00,37.2,78.74,30.1
85,85,85,31/05/2020 01:00,29.84,80.43,30.25
86,86,86,31/05/2020 02:00,11.77,81.3,30.29
87,87,87,31/05/2020 03:00,4.63,82.12,30.18
88,88,88,31/05/2020 04:00,5.34,83.6,29.94
89,89,89,31/05/2020 05:00,9.68,84.07,29.81
90,90,90,31/05/2020 06:00,16.27,83.59,29.88
91,91,91,31/05/2020 07:00,37.34,82.28,30.19
92,92,92,31/05/2020 08:00,64.31,79.37,30.65
93,93,93,31/05/2020 09:00,68.85,72.08,32.23
94,94,94,31/05/2020 10:00,39.62,63.34,33.88
95,95,95,31/05/2020 11:00,27.5,57.51,35.44
96,96,96,31/05/2020 12:00,20.18,53.56,36.18
97,97,97,31/05/2020 13:00,7.41,49.19,36.68
98,98,98,31/05/2020 14:00,6.42,48.81,36.8
99,99,99,31/05/2020 15:00,2.74,47.68,36.93
100,100,100,31/05/2020 16:00,2.64,48.29,36.57
101,101,101,31/05/2020 17:00,6.83,50.48,36.38
102,102,102,31/05/2020 18:00,11.53,55.64,35.17
103,103,103,31/05/2020 19:00,21.62,56.77,34.59
104,104,104,31/05/2020 20:00,45.27,62.62,33.92
105,105,105,31/05/2020 21:00,65.93,65.97,33.25
106,106,106,31/05/2020 22:00,84.4,66.28,33.01
107,107,107,31/05/2020 23:00,46.04,63.51,32.98
108,108,108,01/06/2020 00:00,21.24,62.16,32.85
109,109,109,01/06/2020 01:00,18.84,65.85,32.08
110,110,110,01/06/2020 02:00,13.36,66.0,31.82
111,111,111,01/06/2020 03:00,10.76,70.26,31.59
112,112,112,01/06/2020 04:00,11.22,71.85,31.36
113,113,113,01/06/2020 05:00,11.13,72.43,31.1
114,114,114,01/06/2020 06:00,14.28,74.03,30.99
115,115,115,01/06/2020 07:00,15.63,72.58,31.14
116,116,116,01/06/2020 08:00,19.31,69.93,31.78
117,117,117,01/06/2020 09:00,19.63,63.39,33.21
118,118,118,01/06/2020 10:00,12.73,56.45,34.51
119,119,119,01/06/2020 11:00,10.51,52.28,35.63
120,120,120,01/06/2020 12:00,7.48,47.03,36.68
121,121,121,01/06/2020 13:00,6.98,44.19,38.14
122,122,122,01/06/2020 14:00,7.53,43.58,38.43
123,123,123,01/06/2020 15:00,8.11,46.84,37.81
124,124,124,01/06/2020 16:00,7.13,48.33,37.29
125,125,125,01/06/2020 17:00,5.97,48.28,36.79
126,126,126,01/06/2020 18:00,4.93,63.02,31.49
127,127,127,01/06/2020 19:00,6.16,65.56,31.19
128,128,128,01/06/2020 20:00,21.57,69.91,30.52
129,129,129,01/06/2020 21:00,21.05,76.64,29.55
130,130,130,01/06/2020 22:00,15.13,72.91,29.83
131,131,131,01/06/2020 23:00,20.03,75.12,29.72
132,132,132,02/06/2020 00:00,17.06,77.05,29.85
133,133,133,02/06/2020 01:00,24.33,78.1,29.92
134,134,134,02/06/2020 02:00,36.63,77.92,30.02
135,135,135,02/06/2020 03:00,35.03,79.23,29.81
136,136,136,02/06/2020 04:00,46.95,81.12,29.53
137,137,137,02/06/2020 05:00,61.33,79.78,29.53
138,138,138,02/06/2020 06:00,37.36,78.23,29.92
139,139,139,02/06/2020 07:00,30.57,75.9,30.42
140,140,140,02/06/2020 08:00,25.16,68.08,31.33
141,141,141,02/06/2020 09:00,17.44,60.74,32.63
142,142,142,02/06/2020 10:00,9.68,51.81,34.62
143,143,143,02/06/2020 11:00,10.87,49.54,35.89
144,144,144,02/06/2020 12:00,7.88,47.5,36.63
145,145,145,02/06/2020 13:00,7.2,46.05,37.53
146,146,146,02/06/2020 14:00,6.17,44.38,38.53
147,147,147,02/06/2020 15:00,4.98,42.97,38.65
148,148,148,02/06/2020 16:00,4.68,43.41,38.35
149,149,149,02/06/2020 17:00,5.9,46.99,36.96
150,150,150,02/06/2020 18:00,9.65,65.54,32.17
151,151,151,02/06/2020 19:00,13.85,56.74,32.53
