,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,27/05/2020 12:00,16.34,60.29,30.57
1,1,1,27/05/2020 13:00,16.97,60.95,30.33
2,2,2,27/05/2020 14:00,19.22,65.48,29.64
3,3,3,27/05/2020 15:00,20.53,70.07,28.71
4,4,4,27/05/2020 16:00,27.33,72.18,28.63
5,5,5,27/05/2020 17:00,30.93,74.4,28.19
6,6,6,27/05/2020 18:00,28.94,71.42,29.03
7,7,7,27/05/2020 19:00,42.08,75.67,27.97
8,8,8,27/05/2020 20:00,50.98,78.68,27.47
9,9,9,27/05/2020 21:00,39.08,78.7,27.39
10,10,10,27/05/2020 22:00,38.44,78.71,27.46
11,11,11,27/05/2020 23:00,42.63,79.27,27.38
12,12,12,28/05/2020 00:00,54.08,80.43,27.23
13,13,13,28/05/2020 01:00,55.2,81.23,27.13
14,14,14,28/05/2020 02:00,48.23,79.68,27.47
15,15,15,28/05/2020 03:00,50.6,79.46,27.46
16,16,16,28/05/2020 04:00,57.06,83.08,27.18
17,17,17,28/05/2020 05:00,64.48,84.4,26.88
18,18,18,28/05/2020 06:00,69.18,84.83,26.73
19,19,19,28/05/2020 07:00,55.99,81.2,27.51
20,20,20,28/05/2020 08:00,49.88,76.54,28.13
21,21,21,28/05/2020 09:00,31.77,73.2,28.97
22,22,22,28/05/2020 10:00,23.2,67.85,29.95
23,23,23,28/05/2020 11:00,22.46,62.78,31.36
24,24,24,28/05/2020 12:00,23.91,60.58,32.09
25,25,25,28/05/2020 13:00,21.28,60.96,32.12
26,26,26,28/05/2020 14:00,23.59,58.98,32.83
27,27,27,28/05/2020 15:00,27.27,56.24,33.7
28,28,28,28/05/2020 16:00,30.11,55.23,34.4
29,29,29,28/05/2020 17:00,35.64,57.55,33.88
30,30,30,28/05/2020 18:00,50.5,62.23,32.14
31,31,31,28/05/2020 19:00,61.98,67.3,31.16
32,32,32,28/05/2020 20:00,88.49,69.29,30.39
33,33,33,28/05/2020 21:00,83.06,71.73,29.73
34,34,34,28/05/2020 22:00,59.21,74.53,29.39
35,35,35,28/05/2020 23:00,41.17,76.68,29.06
36,36,36,29/05/2020 00:00,33.72,81.53,28.51
37,37,37,29/05/2020 01:00,41.44,84.28,28.14
38,38,38,29/05/2020 02:00,51.31,84.56,28.08
