,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,27/05/2020 12:00,22.33,64.12,31.16
1,1,27/05/2020 13:00,22.98,64.75,30.9
2,2,27/05/2020 14:00,24.25,68.33,30.0
3,3,27/05/2020 15:00,25.78,72.7,29.06
4,4,27/05/2020 16:00,28.72,73.75,29.13
5,5,27/05/2020 17:00,31.67,74.95,28.78
6,6,27/05/2020 18:00,34.44,74.83,29.01
7,7,27/05/2020 19:00,39.62,77.34,27.99
8,8,27/05/2020 20:00,37.68,78.74,27.77
9,9,27/05/2020 21:00,44.88,79.26,27.73
10,10,27/05/2020 22:00,48.6,79.97,27.65
11,11,27/05/2020 23:00,51.78,81.59,27.46
12,12,28/05/2020 00:00,59.28,83.09,27.35
13,13,28/05/2020 01:00,58.63,84.56,27.26
14,14,28/05/2020 02:00,43.48,82.84,27.53
15,15,28/05/2020 03:00,36.78,82.36,27.45
16,16,28/05/2020 04:00,37.2,81.37,27.54
17,17,28/05/2020 05:00,40.73,82.48,27.31
18,18,28/05/2020 06:00,43.08,83.48,27.2
19,19,28/05/2020 07:00,45.92,82.04,28.04
20,20,28/05/2020 08:00,50.03,78.25,28.69
21,21,28/05/2020 09:00,35.08,73.78,29.42
22,22,28/05/2020 10:00,29.12,68.11,30.75
23,23,28/05/2020 11:00,32.69,67.56,31.38
24,24,28/05/2020 12:00,31.69,63.34,32.22
25,25,28/05/2020 13:00,28.53,64.23,31.88
26,26,28/05/2020 14:00,30.62,61.41,32.57
27,27,28/05/2020 15:00,33.38,62.77,32.56
28,28,28/05/2020 16:00,36.89,62.68,32.49
29,29,28/05/2020 17:00,37.57,61.98,32.59
30,30,28/05/2020 18:00,39.76,64.73,31.78
31,31,28/05/2020 19:00,47.62,65.33,31.51
32,32,28/05/2020 20:00,37.91,67.49,31.0
33,33,28/05/2020 21:00,32.14,68.21,30.28
34,34,28/05/2020 22:00,37.48,71.48,29.83
35,35,28/05/2020 23:00,33.4,75.3,29.32
36,36,29/05/2020 00:00,27.7,78.78,29.03
37,37,29/05/2020 01:00,32.4,81.42,28.62
38,38,29/05/2020 02:00,38.58,81.99,28.54
39,39,29/05/2020 03:00,38.7,84.05,28.18
40,40,29/05/2020 04:00,36.89,84.23,28.15
41,41,29/05/2020 05:00,37.59,84.13,28.23
42,42,29/05/2020 06:00,33.54,83.19,28.21
43,43,29/05/2020 07:00,35.47,82.95,28.42
44,44,29/05/2020 08:00,38.39,82.68,28.58
45,45,29/05/2020 09:00,42.47,81.68,29.26
46,46,29/05/2020 10:00,35.2,76.38,30.63
47,47,29/05/2020 11:00,30.28,71.1,31.99
48,48,29/05/2020 12:00,29.33,66.13,33.38
49,49,29/05/2020 13:00,23.78,55.63,35.78
50,50,29/05/2020 14:00,23.8,51.81,37.08
51,51,29/05/2020 15:00,22.09,48.64,38.13
52,52,29/05/2020 16:00,21.41,47.36,39.38
53,53,29/05/2020 17:00,23.81,53.08,37.59
54,54,29/05/2020 18:00,25.68,61.64,34.56
55,55,29/05/2020 19:00,27.78,68.37,32.61
56,56,29/05/2020 20:00,26.52,68.78,31.56
57,57,29/05/2020 21:00,26.47,69.19,30.8
58,58,29/05/2020 22:00,32.42,72.02,30.39
59,59,29/05/2020 23:00,33.7,76.06,30.08
60,60,30/05/2020 00:00,30.63,78.72,29.81
61,61,30/05/2020 01:00,27.28,80.21,29.59
62,62,30/05/2020 02:00,24.77,82.0,29.38
63,63,30/05/2020 03:00,22.28,82.57,29.17
64,64,30/05/2020 04:00,20.94,84.46,29.01
65,65,30/05/2020 05:00,19.2,85.78,28.88
66,66,30/05/2020 06:00,20.73,85.42,29.05
67,67,30/05/2020 07:00,23.34,83.13,29.78
68,68,30/05/2020 08:00,29.08,77.12,31.23
69,69,30/05/2020 09:00,28.47,69.44,33.08
70,70,30/05/2020 10:00,31.19,61.97,34.43
71,71,30/05/2020 11:00,23.45,56.63,35.38
72,72,30/05/2020 12:00,20.71,51.39,36.42
73,73,30/05/2020 13:00,19.75,46.37,38.33
74,74,30/05/2020 14:00,19.98,43.81,39.29
75,75,30/05/2020 15:00,18.12,42.57,39.49
76,76,30/05/2020 16:00,19.25,40.97,41.1
77,77,30/05/2020 17:00,26.05,45.29,39.85
78,78,30/05/2020 18:00,24.01,54.92,35.99
79,79,30/05/2020 19:00,32.93,59.56,34.14
80,80,30/05/2020 20:00,39.73,64.58,32.26
81,81,30/05/2020 21:00,45.47,69.75,31.63
82,82,30/05/2020 22:00,38.43,79.06,29.61
83,83,30/05/2020 23:00,22.63,81.91,28.97
84,84,31/05/2020 00:00,32.37,81.55,29.4
85,85,31/05/2020 01:00,29.54,83.07,29.63
86,86,31/05/2020 02:00,20.92,84.48,29.61
87,87,31/05/2020 03:00,16.49,84.88,29.62
88,88,31/05/2020 04:00,16.89,86.14,29.48
89,89,31/05/2020 05:00,20.93,87.03,29.21
90,90,31/05/2020 06:00,22.67,86.86,29.42
91,91,31/05/2020 07:00,32.34,82.88,30.36
92,92,31/05/2020 08:00,41.34,77.58,31.81
93,93,31/05/2020 09:00,51.15,71.99,33.48
94,94,31/05/2020 10:00,41.68,63.08,34.92
95,95,31/05/2020 11:00,25.01,53.03,36.69
96,96,31/05/2020 12:00,21.3,50.29,37.38
97,97,31/05/2020 13:00,19.07,47.79,38.03
98,98,31/05/2020 14:00,19.09,48.37,38.08
99,99,31/05/2020 15:00,16.13,47.36,37.82
100,100,31/05/2020 16:00,14.84,45.59,37.83
101,101,31/05/2020 17:00,19.88,43.18,39.5
102,102,31/05/2020 18:00,21.39,53.78,36.43
103,103,31/05/2020 19:00,21.74,54.47,35.38
104,104,31/05/2020 20:00,39.47,60.81,34.53
105,105,31/05/2020 21:00,53.37,66.36,33.39
106,106,31/05/2020 22:00,73.38,68.96,32.59
107,107,31/05/2020 23:00,46.74,67.03,32.42
108,108,01/06/2020 00:00,26.11,65.31,32.2
109,109,01/06/2020 01:00,23.7,66.67,31.67
110,110,01/06/2020 02:00,21.32,67.44,31.27
111,111,01/06/2020 03:00,20.62,69.38,31.05
112,112,01/06/2020 04:00,20.18,71.23,30.64
113,113,01/06/2020 05:00,19.69,70.51,30.65
114,114,01/06/2020 06:00,19.95,71.64,30.7
115,115,01/06/2020 07:00,23.66,75.92,30.94
116,116,01/06/2020 08:00,23.75,69.18,32.57
117,117,01/06/2020 09:00,23.52,62.22,34.52
