,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,27/05/2020 12:00,22.07,57.48,32.78
1,1,27/05/2020 13:00,22.92,58.18,32.1
2,2,27/05/2020 14:00,23.67,64.61,30.53
3,3,27/05/2020 15:00,24.37,69.68,29.64
4,4,27/05/2020 16:00,27.0,71.72,29.18
5,5,27/05/2020 17:00,28.38,72.65,28.46
6,6,27/05/2020 18:00,30.55,69.05,29.85
7,7,27/05/2020 19:00,36.49,76.87,27.83
8,8,27/05/2020 20:00,42.12,80.35,27.26
9,9,27/05/2020 21:00,36.33,79.81,27.28
10,10,27/05/2020 22:00,40.51,80.87,27.29
11,11,27/05/2020 23:00,46.08,82.23,27.19
12,12,28/05/2020 00:00,49.19,82.8,27.12
13,13,28/05/2020 01:00,51.84,84.11,26.95
14,14,28/05/2020 02:00,46.56,83.56,27.06
15,15,28/05/2020 03:00,51.3,83.35,27.09
16,16,28/05/2020 04:00,45.24,84.8,26.83
17,17,28/05/2020 05:00,48.42,85.79,26.68
18,18,28/05/2020 06:00,43.2,85.73,26.73
19,19,28/05/2020 07:00,48.06,82.93,27.57
20,20,28/05/2020 08:00,40.38,77.87,28.63
21,21,28/05/2020 09:00,27.91,70.69,29.63
22,22,28/05/2020 10:00,25.87,64.8,31.33
23,23,28/05/2020 11:00,26.06,59.86,32.79
24,24,28/05/2020 12:00,27.13,61.04,32.28
25,25,28/05/2020 13:00,25.19,62.44,31.88
26,26,28/05/2020 14:00,26.89,59.71,32.85
27,27,28/05/2020 15:00,27.36,57.06,33.27
28,28,28/05/2020 16:00,30.05,56.83,33.82
29,29,28/05/2020 17:00,32.11,53.43,35.43
30,30,28/05/2020 18:00,37.76,61.72,32.33
31,31,28/05/2020 19:00,40.88,65.4,31.41
32,32,28/05/2020 20:00,52.85,70.92,30.31
33,33,28/05/2020 21:00,45.53,70.94,29.64
34,34,28/05/2020 22:00,41.03,74.58,29.18
35,35,28/05/2020 23:00,38.49,77.91,28.66
36,36,29/05/2020 00:00,37.99,81.68,28.14
37,37,29/05/2020 01:00,41.01,82.59,28.0
38,38,29/05/2020 02:00,40.17,83.94,27.72
39,39,29/05/2020 03:00,46.3,88.63,27.08
40,40,29/05/2020 04:00,44.19,88.52,27.06
41,41,29/05/2020 05:00,46.46,88.08,26.59
42,42,29/05/2020 06:00,40.06,87.93,26.77
43,43,29/05/2020 07:00,36.8,85.94,27.64
44,44,29/05/2020 08:00,37.05,84.54,27.9
45,45,29/05/2020 09:00,36.43,81.24,29.16
46,46,29/05/2020 10:00,31.49,75.08,30.77
47,47,29/05/2020 11:00,27.73,69.82,32.03
48,48,29/05/2020 12:00,26.01,63.97,34.01
49,49,29/05/2020 13:00,25.24,55.59,36.32
50,50,29/05/2020 14:00,23.82,51.45,37.07
51,51,29/05/2020 15:00,23.11,46.63,39.13
52,52,29/05/2020 16:00,22.99,44.53,40.08
53,53,29/05/2020 17:00,25.37,47.7,39.23
54,54,29/05/2020 18:00,28.39,57.91,35.6
55,55,29/05/2020 19:00,35.45,67.61,32.53
56,56,29/05/2020 20:00,33.54,67.47,31.18
57,57,29/05/2020 21:00,33.36,70.11,30.23
58,58,29/05/2020 22:00,35.98,73.19,29.74
59,59,29/05/2020 23:00,33.08,73.18,29.73
60,60,30/05/2020 00:00,35.3,79.3,29.35
