,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,0,0,0,27/05/2020 12:00,32.85,74.03,31.53
1,1,1,1,1,1,27/05/2020 13:00,32.12,73.32,31.48
2,2,2,2,2,2,27/05/2020 14:00,36.83,78.8,30.88
3,3,3,3,3,3,27/05/2020 15:00,38.48,81.32,30.34
4,4,4,4,4,4,27/05/2020 16:00,40.46,81.35,30.4
5,5,5,5,5,5,27/05/2020 17:00,46.4,84.61,29.87
6,6,6,6,6,6,27/05/2020 18:00,47.94,86.23,29.65
7,7,7,7,7,7,27/05/2020 19:00,48.08,87.21,29.23
8,8,8,8,8,8,27/05/2020 20:00,50.16,87.67,28.92
9,9,9,9,9,9,27/05/2020 21:00,47.88,87.73,28.93
10,10,10,10,10,10,27/05/2020 22:00,51.08,88.08,28.97
11,11,11,11,11,11,27/05/2020 23:00,55.09,89.86,28.77
12,12,12,12,12,12,28/05/2020 00:00,55.0,90.91,28.69
13,13,13,13,13,13,28/05/2020 01:00,54.78,92.88,28.43
14,14,14,14,14,14,28/05/2020 02:00,49.85,93.41,28.33
15,15,15,15,15,15,28/05/2020 03:00,60.53,92.42,28.21
16,16,16,16,16,16,28/05/2020 04:00,84.43,91.41,28.19
17,17,17,17,17,17,28/05/2020 05:00,62.2,88.73,28.14
18,18,18,18,18,18,28/05/2020 06:00,52.93,88.21,28.08
19,19,19,19,19,19,28/05/2020 07:00,60.22,89.07,28.34
20,20,20,20,20,20,28/05/2020 08:00,59.53,88.73,29.09
21,21,21,21,21,21,28/05/2020 09:00,57.55,84.58,29.7
22,22,22,22,22,22,28/05/2020 10:00,48.25,81.3,30.65
23,23,23,23,23,23,28/05/2020 11:00,46.07,79.42,31.35
24,24,24,24,24,24,28/05/2020 12:00,47.48,75.03,31.92
25,25,25,25,25,25,28/05/2020 13:00,45.41,76.56,31.65
26,26,26,26,26,26,28/05/2020 14:00,49.83,76.17,31.98
27,27,27,27,27,27,28/05/2020 15:00,49.71,75.11,32.23
