,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,27/05/2020 12:00,30.68,62.5,30.64
1,1,1,27/05/2020 13:00,30.67,61.98,30.67
2,2,2,27/05/2020 14:00,31.38,66.02,29.98
3,3,3,27/05/2020 15:00,32.44,69.0,28.95
4,4,4,27/05/2020 16:00,34.7,69.0,28.49
5,5,5,27/05/2020 17:00,36.78,75.37,27.68
6,6,6,27/05/2020 18:00,40.73,73.54,28.08
7,7,7,27/05/2020 19:00,43.34,77.98,27.3
8,8,8,27/05/2020 20:00,45.39,78.44,27.0
9,9,9,27/05/2020 21:00,46.58,81.24,26.81
10,10,10,27/05/2020 22:00,49.18,80.68,26.98
11,11,11,27/05/2020 23:00,46.46,80.29,27.1
12,12,12,28/05/2020 00:00,50.02,81.68,26.98
13,13,13,28/05/2020 01:00,50.23,82.91,26.83
14,14,14,28/05/2020 02:00,52.52,82.9,26.88
15,15,15,28/05/2020 03:00,44.85,82.18,26.97
16,16,16,28/05/2020 04:00,43.22,81.95,26.89
17,17,17,28/05/2020 05:00,41.7,81.78,26.67
18,18,18,28/05/2020 06:00,62.81,88.7,26.03
19,19,19,28/05/2020 07:00,57.69,84.64,26.9
20,20,20,28/05/2020 08:00,66.33,82.62,27.17
21,21,21,28/05/2020 09:00,47.44,77.26,27.94
22,22,22,28/05/2020 10:00,38.78,72.08,28.89
23,23,23,28/05/2020 11:00,36.94,66.82,30.39
24,24,24,28/05/2020 12:00,38.27,65.66,30.59
25,25,25,28/05/2020 13:00,36.47,67.49,30.1
26,26,26,28/05/2020 14:00,37.61,64.21,30.88
27,27,27,28/05/2020 15:00,39.88,61.56,31.52
28,28,28,28/05/2020 16:00,42.79,61.11,31.85
29,29,29,28/05/2020 17:00,45.08,62.44,31.78
30,30,30,28/05/2020 18:00,45.57,65.52,30.85
31,31,31,28/05/2020 19:00,52.15,67.16,30.58
32,32,32,28/05/2020 20:00,44.6,69.04,30.07
33,33,33,28/05/2020 21:00,46.23,70.78,29.4
34,34,34,28/05/2020 22:00,50.93,74.58,28.87
35,35,35,28/05/2020 23:00,38.63,76.73,28.6
36,36,36,29/05/2020 00:00,35.93,81.07,28.09
37,37,37,29/05/2020 01:00,41.69,84.13,27.64
38,38,38,29/05/2020 02:00,44.79,84.32,27.62
39,39,39,29/05/2020 03:00,44.55,85.11,27.44
40,40,40,29/05/2020 04:00,45.28,86.31,27.3
41,41,41,29/05/2020 05:00,47.55,87.02,27.26
42,42,42,29/05/2020 06:00,44.28,86.47,27.24
43,43,43,29/05/2020 07:00,39.44,84.19,27.68
44,44,44,29/05/2020 08:00,43.08,84.19,27.77
45,45,45,29/05/2020 09:00,43.55,82.45,28.38
46,46,46,29/05/2020 10:00,40.32,77.79,29.58
47,47,47,29/05/2020 11:00,34.47,72.63,30.81
48,48,48,29/05/2020 12:00,35.43,69.83,31.73
49,49,49,29/05/2020 13:00,33.13,62.35,33.43
50,50,50,29/05/2020 14:00,30.6,56.98,34.48
51,51,51,29/05/2020 15:00,29.77,55.13,35.12
52,52,52,29/05/2020 16:00,29.58,56.8,34.7
53,53,53,29/05/2020 17:00,31.27,60.11,34.18
54,54,54,29/05/2020 18:00,32.35,63.83,33.41
55,55,55,29/05/2020 19:00,34.66,69.75,31.83
56,56,56,29/05/2020 20:00,33.55,68.13,31.11
57,57,57,29/05/2020 21:00,34.83,69.95,30.11
58,58,58,29/05/2020 22:00,37.27,70.99,29.83
59,59,59,29/05/2020 23:00,39.34,75.34,29.47
60,60,60,30/05/2020 00:00,38.88,80.57,28.93
