,Unnamed: 0.1,Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,0,0,27/05/2020 12:00,16.34,60.29,30.57
1,1,1,27/05/2020 13:00,16.97,60.95,30.33
2,2,2,27/05/2020 14:00,19.22,65.48,29.64
3,3,3,27/05/2020 15:00,20.53,70.07,28.71
4,4,4,27/05/2020 16:00,27.33,72.18,28.63
5,5,5,27/05/2020 17:00,30.93,74.4,28.19
6,6,6,27/05/2020 18:00,38.19,74.51,28.21
7,7,7,27/05/2020 19:00,48.67,76.0,27.61
8,8,8,27/05/2020 20:00,59.31,78.73,27.2
9,9,9,27/05/2020 21:00,67.84,80.21,27.09
10,10,10,27/05/2020 22:00,65.78,80.29,27.07
11,11,11,27/05/2020 23:00,48.43,78.88,27.14
12,12,12,28/05/2020 00:00,62.63,81.17,26.99
13,13,13,28/05/2020 01:00,64.2,81.77,26.93
14,14,14,28/05/2020 02:00,65.96,80.22,27.15
15,15,15,28/05/2020 03:00,56.85,80.28,27.13
16,16,16,28/05/2020 04:00,68.66,82.36,26.95
17,17,17,28/05/2020 05:00,78.27,85.05,26.69
18,18,18,28/05/2020 06:00,85.57,86.28,26.6
19,19,19,28/05/2020 07:00,73.27,80.11,27.91
20,20,20,28/05/2020 08:00,65.53,74.03,29.09
21,21,21,28/05/2020 09:00,42.36,70.8,29.68
22,22,22,28/05/2020 10:00,37.52,66.74,30.31
23,23,23,28/05/2020 11:00,31.84,61.96,31.68
24,24,24,28/05/2020 12:00,37.56,60.96,31.78
25,25,25,28/05/2020 13:00,33.99,62.91,31.3
26,26,26,28/05/2020 14:00,38.71,59.94,31.82
27,27,27,28/05/2020 15:00,43.73,58.68,32.2
28,28,28,28/05/2020 16:00,51.83,59.73,32.16
29,29,29,28/05/2020 17:00,56.55,61.52,31.89
30,30,30,28/05/2020 18:00,64.89,63.99,31.13
31,31,31,28/05/2020 19:00,78.2,66.34,30.87
32,32,32,28/05/2020 20:00,64.31,67.88,30.28
33,33,33,28/05/2020 21:00,87.8,70.63,29.58
34,34,34,28/05/2020 22:00,92.03,74.23,29.11
35,35,35,28/05/2020 23:00,46.87,76.35,28.71
36,36,36,29/05/2020 00:00,44.58,80.36,28.34
37,37,37,29/05/2020 01:00,55.86,82.64,28.08
38,38,38,29/05/2020 02:00,66.23,83.38,27.95
